tab_index,tag,text,href,xpath,css_selector,accessible_name,accessible_name_source,accessible_name_priority,role,aria_label,aria_labelledby,aria_describedby,aria_hidden,id,class,title,alt,type,value,placeholder,tabindex,position_x,position_y,position_width,position_height,is_visible,is_enabled,screenshot_immediate,screenshot_delayed
38,a,,https://www.bnf.fr/fr/rapport-dactivite,body/div[1]/div[4]/main[1]/div[3]/div[1]/div[1]/div[1]/div[7]/div[1]/div[1]/div[1]/a[1],a,Rapport d'activité 2023,alt (img enfant),4,,,,,,,,,,,,,,302,3476,439,300,True,True,reports/focus_screenshots/focus_038_1.png,reports/focus_screenshots/focus_038_2.png
39,a,Rapport d'activité 2023,https://www.bnf.fr/fr/rapport-dactivite,body/div[1]/div[4]/main[1]/div[3]/div[1]/div[1]/div[1]/div[7]/div[1]/div[1]/div[1]/div[1]/div[1]/h5[1]/a[1],a,Rapport d'activité 2023,text_content,3,,,,,,,,,,,,,,342,3799,236,35,True,True,reports/focus_screenshots/focus_039_1.png,reports/focus_screenshots/focus_039_2.png
40,a,EN SAVOIR,https://www.bnf.fr/fr/rapport-dactivite,body/div[1]/div[4]/main[1]/div[3]/div[1]/div[1]/div[1]/div[7]/div[1]/div[1]/div[1]/div[1]/div[1]/a[1],a.link-purple-more,En savoir plus - Rapport d'activité 2023,aria-label,2,,En savoir plus - Rapport d'activité 2023,,,,,link-purple-more,,,,,,,342,3966,87,16,True,True,reports/focus_screenshots/focus_040_1.png,reports/focus_screenshots/focus_040_2.png
41,a,Appel à candidatures pour professionnels étrangers pour 2026,https://www.bnf.fr/fr/actualites/appel-candidatures-pour-professionnels-etrangers-pour-2026,body/div[1]/div[4]/main[1]/div[3]/div[1]/div[1]/div[1]/div[7]/div[1]/div[1]/div[2]/div[1]/div[1]/div[1]/article[1]/h3[1]/a[1],a,Appel à candidatures pour professionnels étrangers pour 2026,text_content,3,,,,,,,,,,,,,,790,3514,360,57,True,True,reports/focus_screenshots/focus_041_1.png,reports/focus_screenshots/focus_041_2.png
42,a,EN SAVOIR,https://www.bnf.fr/fr/actualites/appel-candidatures-pour-professionnels-etrangers-pour-2026,body/div[1]/div[4]/main[1]/div[3]/div[1]/div[1]/div[1]/div[7]/div[1]/div[1]/div[2]/div[1]/div[1]/div[1]/article[1]/a[1],a.link-purple-more,EN SAVOIR,text_content,3,,,,,,,link-purple-more,,,,,,,790,3613,88,16,True,True,reports/focus_screenshots/focus_042_1.png,reports/focus_screenshots/focus_042_2.png
43,a,Le Muséum renouvelle sa convention avec la BnF,https://www.bnf.fr/fr/actualites/le-museum-renouvelle-sa-convention-avec-la-bnf,body/div[1]/div[4]/main[1]/div[3]/div[1]/div[1]/div[1]/div[7]/div[1]/div[1]/div[2]/div[1]/div[1]/div[1]/article[2]/h3[1]/a[1],a,Le Muséum renouvelle sa convention avec la BnF,text_content,3,,,,,,,,,,,,,,790,3670,386,57,True,True,reports/focus_screenshots/focus_043_1.png,reports/focus_screenshots/focus_043_2.png
44,a,EN SAVOIR,https://www.bnf.fr/fr/actualites/le-museum-renouvelle-sa-convention-avec-la-bnf,body/div[1]/div[4]/main[1]/div[3]/div[1]/div[1]/div[1]/div[7]/div[1]/div[1]/div[2]/div[1]/div[1]/div[1]/article[2]/a[1],a.link-purple-more,EN SAVOIR,text_content,3,,,,,,,link-purple-more,,,,,,,790,3770,88,16,True,True,reports/focus_screenshots/focus_044_1.png,reports/focus_screenshots/focus_044_2.png
45,a,LES ACTUS PRO,https://www.bnf.fr/fr/actualites?categorie=69,body/div[1]/div[4]/main[1]/div[3]/div[1]/div[1]/div[1]/div[7]/div[1]/div[1]/div[2]/div[1]/div[1]/div[1]/a[1],a.link-default-accueil.link-purple-chevron,LES ACTUS PRO,text_content,3,,,,,,,link-default-accueil link-purple-chevron,,,,,,,770,3853,135,19,True,True,reports/focus_screenshots/focus_045_1.png,reports/focus_screenshots/focus_045_2.png
46,a,François-Mitterrand,https://www.bnf.fr/fr/francois-mitterrand,"id(""block-nosimplantations"")/div[2]/div[1]/ul[1]/li[1]/a[1]",a,François-Mitterrand,text_content,3,,,,,,,,François-Mitterrand,,,,,,216,4285,148,50,True,True,reports/focus_screenshots/focus_046_1.png,reports/focus_screenshots/focus_046_2.png
47,a,Richelieu,https://www.bnf.fr/fr/richelieu,"id(""block-nosimplantations"")/div[2]/div[1]/ul[1]/li[2]/a[1]",a,Richelieu,text_content,3,,,,,,,,Richelieu,,,,,,216,4335,80,50,True,True,reports/focus_screenshots/focus_047_1.png,reports/focus_screenshots/focus_047_2.png
48,a,Arsenal,https://www.bnf.fr/fr/arsenal,"id(""block-nosimplantations"")/div[2]/div[1]/ul[1]/li[3]/a[1]",a,Arsenal,text_content,3,,,,,,,,Arsenal,,,,,,216,4385,70,50,True,True,reports/focus_screenshots/focus_048_1.png,reports/focus_screenshots/focus_048_2.png
49,a,Opéra,https://www.bnf.fr/fr/opera,"id(""block-nosimplantations"")/div[2]/div[1]/ul[1]/li[4]/a[1]",a,Opéra,text_content,3,,,,,,,,Opéra,,,,,,216,4435,59,50,True,True,reports/focus_screenshots/focus_049_1.png,reports/focus_screenshots/focus_049_2.png
50,a,Jean-Vilar,https://www.bnf.fr/fr/jean-vilar,"id(""block-nosimplantations"")/div[2]/div[1]/ul[1]/li[5]/a[1]",a,Jean-Vilar,text_content,3,,,,,,,,Jean-Vilar,,,,,,216,4485,87,50,True,True,reports/focus_screenshots/focus_050_1.png,reports/focus_screenshots/focus_050_2.png
